ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
574;1100;10000;2005W134;2361
575;1100;10000;2005W135;2423
576;1100;10000;2005W136;2392
577;1100;10000;2005W137;2323
578;1100;10000;2005W138;2219
579;1100;10000;2005W139;2342
580;1100;10000;2005W140;2397
581;1100;10000;2005W141;2416
582;1100;10000;2005W142;2524
583;1100;10000;2005W143;2499
584;1100;10000;2005W144;2322
585;1100;10000;2005W145;2417
586;1100;10000;2005W146;2489
587;1100;10000;2005W147;2692
588;1100;10000;2005W148;2669
589;1100;10000;2005W149;2705
590;1100;10000;2005W150;2714
591;1100;10000;2005W151;2676
592;1100;10000;2005W152;2348
595;1100;10000;2006W101;2746
596;1100;10000;2006W102;2834
597;1100;10000;2006W103;2770
598;1100;10000;2006W104;2747
599;1100;10000;2006W105;2838
600;1100;10000;2006W106;2819
601;1100;10000;2006W107;2841
602;1100;10000;2006W108;2856
603;1100;10000;2006W109;2880
604;1100;10000;2006W110;2920
605;1100;10000;2006W111;2762
606;1100;10000;2006W112;2920
607;1100;10000;2006W113;2867
608;1100;10000;2006W114;2646
609;1100;10000;2006W115;2743
610;1100;10000;2006W116;2684
611;1100;10000;2006W117;2576
612;1100;10000;2006W118;2559
613;1100;10000;2006W119;2591
614;1100;10000;2006W120;2450
615;1100;10000;2006W121;2349
616;1100;10000;2006W122;2404
617;1100;10000;2006W123;2511
618;1100;10000;2006W124;2682
619;1100;10000;2006W125;2526
620;1100;10000;2006W126;2390
621;1100;10000;2006W127;2722
622;1100;10000;2006W128;2508
623;1100;10000;2006W129;2829
624;1100;10000;2006W130;3046
625;1100;10000;2006W131;2352
626;1100;10000;2006W132;2332
627;1100;10000;2006W133;2342
628;1100;10000;2006W134;2396
629;1100;10000;2006W135;2375
630;1100;10000;2006W136;2379
631;1100;10000;2006W137;2633
632;1100;10000;2006W138;2382
633;1100;10000;2006W139;2292
634;1100;10000;2006W140;2278
635;1100;10000;2006W141;2301
636;1100;10000;2006W142;2394
637;1100;10000;2006W143;2407
638;1100;10000;2006W144;2370
639;1100;10000;2006W145;2555
640;1100;10000;2006W146;2559
641;1100;10000;2006W147;2550
642;1100;10000;2006W148;2592
643;1100;10000;2006W149;2542
644;1100;10000;2006W150;2564
645;1100;10000;2006W151;2726
646;1100;10000;2006W152;2683
648;1100;10000;2007W101;2802
649;1100;10000;2007W102;2837
650;1100;10000;2007W103;2694
651;1100;10000;2007W104;2680
652;1100;10000;2007W105;2717
653;1100;10000;2007W106;2718
654;1100;10000;2007W107;2716
655;1100;10000;2007W108;2706
656;1100;10000;2007W109;2829
657;1100;10000;2007W110;2828
658;1100;10000;2007W111;2650
659;1100;10000;2007W112;2642
660;1100;10000;2007W113;2662
661;1100;10000;2007W114;2528
662;1100;10000;2007W115;2615
663;1100;10000;2007W116;2547
664;1100;10000;2007W117;2619
665;1100;10000;2007W118;2493
666;1100;10000;2007W119;2494
667;1100;10000;2007W120;2360
668;1100;10000;2007W121;2442
669;1100;10000;2007W122;2381
670;1100;10000;2007W123;2577
671;1100;10000;2007W124;2422
672;1100;10000;2007W125;2392
673;1100;10000;2007W126;2366
674;1100;10000;2007W127;2434
675;1100;10000;2007W128;2412
676;1100;10000;2007W129;2288
677;1100;10000;2007W130;2354
678;1100;10000;2007W131;2367
679;1100;10000;2007W132;2464
680;1100;10000;2007W133;2288
681;1100;10000;2007W134;2371
682;1100;10000;2007W135;2228
683;1100;10000;2007W136;2323
684;1100;10000;2007W137;2369
685;1100;10000;2007W138;2276
686;1100;10000;2007W139;2316
687;1100;10000;2007W140;2378
688;1100;10000;2007W141;2488
689;1100;10000;2007W142;2531
690;1100;10000;2007W143;2508
691;1100;10000;2007W144;2599
692;1100;10000;2007W145;2567
693;1100;10000;2007W146;2587
694;1100;10000;2007W147;2663
695;1100;10000;2007W148;2804
696;1100;10000;2007W149;2748
697;1100;10000;2007W150;2722
698;1100;10000;2007W151;2839
699;1100;10000;2007W152;2964
700;1100;10000;2007W153;417
702;1100;10000;2008W101;2532
703;1100;10000;2008W102;3045
704;1100;10000;2008W103;2928
705;1100;10000;2008W104;2773
706;1100;10000;2008W105;2733
707;1100;10000;2008W106;2676
708;1100;10000;2008W107;2703
709;1100;10000;2008W108;2821
710;1100;10000;2008W109;2775
711;1100;10000;2008W110;2840
712;1100;10000;2008W111;2718
713;1100;10000;2008W112;2664
714;1100;10000;2008W113;2700
715;1100;10000;2008W114;2712
716;1100;10000;2008W115;2643
717;1100;10000;2008W116;2675
718;1100;10000;2008W117;2585
719;1100;10000;2008W118;2566
720;1100;10000;2008W119;2718
721;1100;10000;2008W120;2555
722;1100;10000;2008W121;2544
723;1100;10000;2008W122;2457
724;1100;10000;2008W123;2394
725;1100;10000;2008W124;2462
726;1100;10000;2008W125;2391
727;1100;10000;2008W126;2514
728;1100;10000;2008W127;2507
729;1100;10000;2008W128;2348
730;1100;10000;2008W129;2413
731;1100;10000;2008W130;2368
732;1100;10000;2008W131;2572
733;1100;10000;2008W132;2419
734;1100;10000;2008W133;2312
735;1100;10000;2008W134;2351
736;1100;10000;2008W135;2320
737;1100;10000;2008W136;2349
738;1100;10000;2008W137;2350
739;1100;10000;2008W138;2415
740;1100;10000;2008W139;2363
741;1100;10000;2008W140;2555
742;1100;10000;2008W141;2383
743;1100;10000;2008W142;2409
744;1100;10000;2008W143;2460
745;1100;10000;2008W144;2601
